iter	Passed	Remaining
937	1991	131
938	1992	129
939	1994	127
940	1995	125
941	1997	122
942	1999	120
943	2000	118
944	2002	116
945	2004	114
946	2005	112
947	2007	110
948	2009	107
949	2010	105
950	2012	103
951	2014	101
952	2015	99
953	2017	97
954	2018	95
955	2020	92
956	2022	90
957	2023	88
958	2025	86
959	2026	84
960	2028	82
961	2030	80
962	2032	78
963	2033	75
964	2035	73
965	2036	71
966	2038	69
967	2039	67
968	2041	65
969	2043	63
970	2044	61
971	2046	58
972	2047	56
973	2049	54
974	2052	52
975	2054	50
976	2055	48
977	2057	46
978	2059	44
979	2061	42
980	2062	39
981	2064	37
982	2066	35
983	2067	33
984	2069	31
985	2070	29
986	2072	27
987	2074	25
988	2075	23
989	2077	20
990	2079	18
991	2081	16
992	2082	14
993	2084	12
994	2085	10
995	2087	8
996	2089	6
997	2090	4
998	2092	2
999	2094	0
